"taxon","location_description","study_collection_area","geo_datum","gps_obfuscation_info","species_id_method","study_design","sampling_strategy","sampling_method","sampling_protocol","measurement_unit","value_transform","sample_start_date","sample_start_time","sample_end_date","sample_end_time","sample_value","sample_sex","sample_stage","sample_location","sample_collection_area","sample_lat_dd","sample_long_dd","sample_environment","additional_location_info","additional_sample_info","sample_name"
"Culex salinarius","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-21",,"2012-03-22",,"2","female","adult","Highland Shores",,"27.516317","-82.537735",,,,"2012-03-21_B4HS_G1"
"Culex coronator","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-21",,"2012-03-22",,"3","female","adult","Highland Shores",,"27.516317","-82.537735",,,,"2012-03-21_B4HS_G1"
"Culex nigripalpus","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-21",,"2012-03-22",,"3","female","adult","Carrs",,"27.554018","-82.545481",,,,"2012-03-21_B4J_G1J"
"","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-21",,"2012-03-22",,"0","female","adult","Manatee HS",,"27.48887","-82.59214",,,,"2012-03-21_D1_C3"
"Culex nigripalpus","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-21",,"2012-03-22",,"1","female","adult","Mullins",,"27.439449","-82.548928",,,,"2012-03-21_D3_D8"
"Anopheles quadrimaculatus","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-21",,"2012-03-22",,"2","female","adult","Mullins",,"27.439449","-82.548928",,,,"2012-03-21_D3_D8"
"Culex erraticus","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-21",,"2012-03-22",,"5","female","adult","Mullins",,"27.439449","-82.548928",,,,"2012-03-21_D3_D8"
"","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-0KJKJKJK3-21",,"2012-03-22",,"1","female","adult","Mullins",,"27.439449","-82.548928",,,,"2012-03-21_D3_D8"
"Culex salinarius","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-0dd3-21",,"2012-03-22",,"1","female","adult","Mullins",,"27.439449","-82.548928",,,,"2012-03-21_D3_D8"
"Culex coronator","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-21",,"2012-03-22",,"1","female","adult","Mullins",,"27.439449","-82.548928",,,,"2012-03-21_D3_D8"
"Mansonia dyari","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-21",,"2012-03-22",,"2","female","adult","Mullins",,"27.439449","-82.548928",,,,"2012-03-21_D3_D8"
"Culex nigripalpus","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-21",,"2012-03-22",,"16","female","adult","Tallevast",,"27.4266","-82.52471",,,,"2012-03-21_D3T_F1T"
"Coquillettidia perturbans","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-21",,"2012-03-22",,"1","female","adult","Tallevast",,"27.4266","-82.52471",,,,"2012-03-21_D3T_F1T"
"Anopheles crucians","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-21",,"2012-03-22",,"1","female","adult","Tallevast",,"27.4266","-82.52471",,,,"2012-03-21_D3T_F1T"
"Aedes albopictus","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-21",,"2012-03-22",,"1","female","adult","Tallevast",,"27.4266","-82.52471",,,,"2012-03-21_D3T_F1T"
"Culex erraticus","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-21",,"2012-03-22",,"10","female","adult","Tallevast",,"27.4266","-82.52471",,,,"2012-03-21_D3T_F1T"
"Culex salinarius","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-21",,"2012-03-22",,"4","female","adult","Tallevast",,"27.4266","-82.52471",,,,"2012-03-21_D3T_F1T"
"Culex coronator","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-21",,"2012-03-22",,"1dd","female","adult","Tallevast",,"27.4266","-82.52471",,,,"2012-03-21_D3T_F1T"
"Culicinae","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-21",,"2012-03-22",,"5","female","adult","Tallevast",,"27.4266","-82.52471",,,,"2012-03-21_D3T_F1T"
"Culex nigripalpus","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-21",,"2012-03-22",,"13","female","adult","Thousand Oaks",,"27.564989","-82.480332",,,,"2012-03-21_G1T_G4T"
"Mansonia titillans","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-21",,"2012-03-22",,"1","female","adult","Thousand Oaks",,"27.564989","-82.480332",,,,"2012-03-21_G1T_G4T"
"Anopheles crucians","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-21",,"2012-03-22",,"12","female","adult","Thousand Oaks",,"27.564989","-82.480332",,,,"2012-03-21_G1T_G4T"
"Aedes infirmatus","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-21",,"2012-03-22",,"3","female","adult","Thousand Oaks",,"27.564989","-82.480332",,,,"2012-03-21_G1T_G4T"
"Culex erraticus","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-21",,"2012-03-22",,"8","female","adult","Thousand Oaks",,"27.564989","-82.480332",,,,"2012-03-21_G1T_G4T"
"Aedes aegypti","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-21",,"2012-03-22",,"1","female","adult","Colonial Baptist Church",,"27.475697","-82.613417",,,,"2012-03-21_D1BP_C3BP"
"Culex nigripalpus","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-21",,"2012-03-22",,"3","female","adult","Buffalo Creek Ball Park",,"27.578355","-82.483695",,,,"2012-03-21_G1BP_G4BP"
"Mansonia titillans","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-21",,"2012-03-22",,"4","female","adult","Buffalo Creek Ball Park",,"27.578355","-82.483695",,,,"2012-03-21_G1BP_G4BP"
"Coquillettidia perturbans","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-21",,"2012-03-22",,"3","female","adult","Buffalo Creek Ball Park",,"27.578355","-82.483695",,,,"2012-03-21_G1BP_G4BP"
"Anopheles crucians","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-21",,"2012-03-22",,"20","female","adult","Buffalo Creek Ball Park",,"27.578355","-82.483695",,,,"2012-03-21_G1BP_G4BP"
"Anopheles quadrimaculatus","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-21",,"2012-03-22",,"4","female","adult","Buffalo Creek Ball Park",,"27.578355","-82.483695",,,,"2012-03-21_G1BP_G4BP"
"Culex erraticus","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-21",,"2012-03-22",,"31","female","adult","Buffalo Creek Ball Park",,"27.578355","-82.483695",,,,"2012-03-21_G1BP_G4BP"
"Culex salinarius","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-21",,"2012-03-22",,"4","female","adult","Buffalo Creek Ball Park",,"27.578355","-82.483695",,,,"2012-03-21_G1BP_G4BP"
"Mansonia dyari","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-21",,"2012-03-22",,"4","female","adult","Buffalo Creek Ball Park",,"27.578355","-82.483695",,,,"2012-03-21_G1BP_G4BP"
"Aedes aegypti","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-28",,"2012-03-29",,"1","female","adult","Manatee HS",,"27.48887","-82.59214",,,,"2012-03-28_D1_C3"
"Culex quinquefasciatus","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-28",,"2012-03-29",,"2","female","adult","Manatee HS",,"27.48887","-82.59214",,,,"2012-03-28_D1_C3"
"BLANK","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-28",,"2012-03-29",,"0","female","adult","Fulwood",,"27.475085","-82.551283",,,,"2012-03-28_D2F_D4F"
"Psorophora columbiae","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-28",,"2012-03-29",,"1","female","adult","Mullins",,"27.439449","-82.548928",,,,"2012-03-28_D3_D8"
"Coquillettidia perturbans","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-28",,"2012-03-29",,"5","female","adult","Mullins",,"27.439449","-82.548928",,,,"2012-03-28_D3_D8"
"Anopheles crucians","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-28",,"2012-03-29",,"1","female","adult","Mullins",,"27.439449","-82.548928",,,,"2012-03-28_D3_D8"
"Culex erraticus","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-28",,"2012-03-29",,"10","female","adult","Mullins",,"27.439449","-82.548928",,,,"2012-03-28_D3_D8"
"Culex quinquefasciatus","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-28",,"2012-03-29",,"4","female","adult","Mullins",,"27.439449","-82.548928",,,,"2012-03-28_D3_D8"
"Coquillettidia perturbans","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-28",,"2012-03-29",,"2","female","adult","Tallevast",,"27.4266","-82.52471",,,,"2012-03-28_D3T_F1T"
"Anopheles crucians","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-28",,"2012-03-29",,"11","female","adult","Tallevast",,"27.4266","-82.52471",,,,"2012-03-28_D3T_F1T"
"Culex erraticus","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-28",,"2012-03-29",,"10","female","adult","Tallevast",,"27.4266","-82.52471",,,,"2012-03-28_D3T_F1T"
"Culex pilosus","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-28",,"2012-03-29",,"3","female","adult","Tallevast",,"27.4266","-82.52471",,,,"2012-03-28_D3T_F1T"
"Culex nigripalpus","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-28",,"2012-03-29",,"1","female","adult","Colonial Baptist Church",,"27.475697","-82.613417",,,,"2012-03-28_D1BP_C3BP"
"Anopheles crucians","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-28",,"2012-03-29",,"1","female","adult","Colonial Baptist Church",,"27.475697","-82.613417",,,,"2012-03-28_D1BP_C3BP"
"Culex coronator","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-28",,"2012-03-29",,"1","female","adult","Lloyd Park",,"27.489937","-82.533814",,,,"2012-03-28_D2BP1_F1BP"
"Aedes taeniorhynchus","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-28",,"2012-03-29",,"9","female","adult","Braden River Park",,"27.44893","-82.498664",,,,"2012-03-28_D2BP2_F2BP"
"Mansonia titillans","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-28",,"2012-03-29",,"2","female","adult","Braden River Park",,"27.44893","-82.498664",,,,"2012-03-28_D2BP2_F2BP"
"Anopheles quadrimaculatus","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-28",,"2012-03-29",,"3","female","adult","Braden River Park",,"27.44893","-82.498664",,,,"2012-03-28_D2BP2_F2BP"
"Culex erraticus","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-28",,"2012-03-29",,"2","female","adult","Braden River Park",,"27.44893","-82.498664",,,,"2012-03-28_D2BP2_F2BP"
"Culex coronator","Manatee County;Florida;United States of America",,,,"SPECIES_MORPHO",,,"LIGHT;CO2","CDC_LIGHT",,,"2012-03-28",,"2012-03-29",,"2","female","adult","Braden River Park",,"27.44893","-82.498664",,,,"2012-03-28_D2BP2_F2BP"
